granularity,period,factor,return,percentile,rank,is_best
week,2024-W01,lowvol,-0.02119,0.9213,1,1
week,2024-W01,rz_buy,-0.14088,0.7071,2,0
week,2024-W01,reversal,-0.2221,0.4151,3,0
week,2024-W01,momentum,-0.25749,0.2567,4,0
week,2024-W02,lowvol,-0.00972,0.8927,1,1
week,2024-W02,rz_buy,-0.17487,0.6467,2,0
week,2024-W02,reversal,-0.29386,0.3723,3,0
week,2024-W02,momentum,-0.3247,0.307,4,0
week,2024-W03,lowvol,0.03714,0.872,1,1
week,2024-W03,rz_buy,-0.07086,0.6455,2,0
week,2024-W03,reversal,-0.09966,0.5793,3,0
week,2024-W03,momentum,-0.22294,0.2156,4,0
week,2024-W04,lowvol,0.04448,0.7323,1,1
week,2024-W04,reversal,0.03308,0.687,2,0
week,2024-W04,rz_buy,-0.00913,0.5614,3,0
week,2024-W04,momentum,-0.19905,0.0593,4,0
week,2024-W05,reversal,0.11665,0.7197,1,1
week,2024-W05,lowvol,0.04747,0.4859,2,0
week,2024-W05,rz_buy,0.02755,0.418,3,0
week,2024-W05,momentum,-0.10847,0.0722,4,0
week,2024-W06,reversal,0.51091,0.9194,1,1
week,2024-W06,rz_buy,0.16212,0.3476,2,0
week,2024-W06,momentum,0.12227,0.2918,3,0
week,2024-W06,lowvol,0.02197,0.0684,4,0
week,2024-W08,reversal,0.30868,0.8868,1,1
week,2024-W08,rz_buy,0.13757,0.5129,2,0
week,2024-W08,momentum,0.09322,0.3764,3,0
week,2024-W08,lowvol,-0.00605,0.0842,4,0
week,2024-W09,reversal,0.14153,0.8564,1,1
week,2024-W09,rz_buy,0.01871,0.5063,2,0
week,2024-W09,lowvol,-0.00153,0.4003,3,0
week,2024-W09,momentum,-0.08762,0.132,4,0
week,2024-W10,reversal,0.12437,0.7845,1,1
week,2024-W10,rz_buy,0.06172,0.5913,2,0
week,2024-W10,lowvol,-0.00392,0.3305,3,0
week,2024-W10,momentum,-0.11979,0.0936,4,0
week,2024-W11,lowvol,0.00255,0.647,1,1
week,2024-W11,reversal,-0.01737,0.6218,2,0
week,2024-W11,rz_buy,-0.01629,0.6177,3,0
week,2024-W11,momentum,-0.16702,0.1237,4,0
week,2024-W12,lowvol,0.01873,0.8243,1,1
week,2024-W12,reversal,-0.04061,0.6862,2,0
week,2024-W12,rz_buy,-0.06201,0.6313,3,0
week,2024-W12,momentum,-0.16267,0.3067,4,0
week,2024-W13,lowvol,0.02434,0.7081,1,1
week,2024-W13,rz_buy,-0.01869,0.5221,2,0
week,2024-W13,reversal,-0.04796,0.4149,3,0
week,2024-W13,momentum,-0.0815,0.2968,4,0
week,2024-W14,lowvol,0.01801,0.6577,1,1
week,2024-W14,reversal,-0.00625,0.5517,2,0
week,2024-W14,rz_buy,-0.00996,0.5352,3,0
week,2024-W14,momentum,-0.0112,0.5205,4,0
week,2024-W15,lowvol,0.03791,0.6361,1,1
week,2024-W15,reversal,0.00731,0.4928,2,0
week,2024-W15,momentum,-0.00828,0.4119,3,0
week,2024-W15,rz_buy,-0.01644,0.4025,4,0
week,2024-W16,momentum,0.18572,0.7735,1,1
week,2024-W16,reversal,0.18127,0.6884,2,0
week,2024-W16,rz_buy,0.0677,0.4687,3,0
week,2024-W16,lowvol,0.046,0.3801,4,0
week,2024-W17,rz_buy,0.07172,0.6556,1,1
week,2024-W17,lowvol,0.05253,0.6143,2,0
week,2024-W17,momentum,0.04875,0.5994,3,0
