granularity,period,factor,return,percentile,rank,is_best
week,2015-W02,reversal,0.10037,0.6701,1,1
week,2015-W02,lowvol,0.08288,0.645,2,0
week,2015-W02,momentum,-0.05249,0.1808,3,0
week,2015-W03,reversal,0.07369,0.6307,1,1
week,2015-W03,lowvol,0.05257,0.5575,2,0
week,2015-W03,momentum,-0.00596,0.2879,3,0
week,2015-W04,lowvol,0.10413,0.6604,1,1
week,2015-W04,momentum,0.11891,0.6421,2,0
week,2015-W04,reversal,0.07862,0.5664,3,0
week,2015-W05,momentum,0.20446,0.8448,1,1
week,2015-W05,lowvol,0.09006,0.5183,2,0
week,2015-W05,reversal,0.07371,0.5179,3,0
week,2015-W06,momentum,0.20516,0.7441,1,1
week,2015-W06,lowvol,0.11859,0.523,2,0
week,2015-W06,reversal,0.10774,0.4751,3,0
week,2015-W07,momentum,0.26558,0.7188,1,1
week,2015-W07,reversal,0.25583,0.67,2,0
week,2015-W07,lowvol,0.19842,0.5039,3,0
week,2015-W08,momentum,0.38227,0.8551,1,1
week,2015-W08,reversal,0.24294,0.6229,2,0
week,2015-W08,lowvol,0.20028,0.5104,3,0
week,2015-W09,momentum,0.47993,0.9212,1,1
week,2015-W09,reversal,0.23391,0.6171,2,0
week,2015-W09,lowvol,0.22271,0.5887,3,0
week,2015-W10,momentum,0.37926,0.8509,1,1
week,2015-W10,lowvol,0.20198,0.5031,2,0
week,2015-W10,reversal,0.16772,0.3784,3,0
week,2015-W11,momentum,0.35692,0.7453,1,1
week,2015-W11,lowvol,0.26143,0.5491,2,0
week,2015-W11,reversal,0.2629,0.5171,3,0
week,2015-W12,reversal,0.21422,0.6047,1,1
week,2015-W12,lowvol,0.19693,0.5775,2,0
week,2015-W12,momentum,0.13516,0.3678,3,0
week,2015-W13,reversal,0.26833,0.6228,1,1
week,2015-W13,lowvol,0.17686,0.5479,2,0
week,2015-W13,momentum,0.03861,0.1448,3,0
week,2015-W14,lowvol,0.1201,0.5501,1,1
week,2015-W14,reversal,0.10787,0.5132,2,0
week,2015-W14,momentum,0.09852,0.4887,3,0
week,2015-W15,momentum,0.22244,0.8137,1,1
week,2015-W15,reversal,0.12947,0.7311,2,0
week,2015-W15,lowvol,0.0501,0.5827,3,0
week,2015-W16,momentum,0.34054,0.8485,1,1
week,2015-W16,reversal,0.26993,0.8015,2,0
week,2015-W16,lowvol,0.03985,0.3752,3,0
week,2015-W17,momentum,0.37571,0.7931,1,1
week,2015-W17,reversal,0.33171,0.7191,2,0
week,2015-W17,lowvol,0.09646,0.3342,3,0
week,2015-W18,momentum,0.45972,0.7811,1,1
week,2015-W18,reversal,0.27391,0.5694,2,0
week,2015-W18,lowvol,0.20614,0.4445,3,0
week,2015-W19,momentum,0.48236,0.6674,1,1
week,2015-W19,reversal,0.39827,0.5655,2,0
week,2015-W19,lowvol,0.25006,0.3239,3,0
week,2015-W20,reversal,0.31944,0.5476,1,1
week,2015-W20,momentum,0.21435,0.3334,2,0
week,2015-W20,lowvol,0.16812,0.2498,3,0
week,2015-W21,reversal,0.19683,0.5923,1,1
week,2015-W21,lowvol,0.02933,0.2811,2,0
week,2015-W21,momentum,-0.07557,0.1486,3,0
week,2015-W22,reversal,-0.11899,0.4488,1,1
week,2015-W22,momentum,-0.34605,0.0665,2,0
week,2015-W22,lowvol,-0.3825,0.0439,3,0
week,2015-W23,lowvol,-0.12664,0.8728,1,1
week,2015-W23,reversal,-0.23763,0.7306,2,0
week,2015-W23,momentum,-0.46728,0.1469,3,0
week,2015-W24,lowvol,-0.25939,0.8474,1,1
week,2015-W24,momentum,-0.43296,0.5142,2,0
week,2015-W24,reversal,-0.44173,0.4904,3,0
week,2015-W25,lowvol,-0.15301,0.8694,1,1
week,2015-W25,reversal,-0.25004,0.7162,2,0
week,2015-W25,momentum,-0.34638,0.4306,3,0
week,2015-W26,lowvol,-0.00339,0.9188,1,1
week,2015-W26,reversal,-0.12868,0.757,2,0
week,2015-W26,momentum,-0.12566,0.7313,3,0
week,2015-W27,reversal,0.00961,0.7336,1,1
week,2015-W27,momentum,-0.00829,0.6637,2,0
week,2015-W27,lowvol,-0.03148,0.622,3,0
