granularity,period,factor,return,percentile,rank,is_best
week,2015-W04,gtja191/alpha_090,0.24248,0.8969,1,1
week,2015-W04,gtja191/alpha_008,0.22446,0.8821,2,0
week,2015-W04,alpha101/alpha_024,0.17064,0.7818,3,0
week,2015-W04,alpha101/alpha_016,0.13187,0.7469,4,0
week,2015-W04,qlib158/cntn5,0.09444,0.6497,5,0
week,2015-W04,alpha101/alpha_015,0.08063,0.594,6,0
week,2015-W04,alpha101/alpha_044,0.06737,0.5456,7,0
week,2015-W04,gtja191/alpha_006,0.04378,0.4351,8,0
week,2015-W04,alpha101/alpha_023,0.03449,0.3521,9,0
week,2015-W04,alpha101/alpha_027,0.03449,0.3521,10,0
week,2015-W05,qlib158/vma10,0.24325,0.8833,1,1
week,2015-W05,gtja191/alpha_041,0.29712,0.8807,2,0
week,2015-W05,gtja191/alpha_001,0.15365,0.7344,3,0
week,2015-W05,gtja191/alpha_008,0.24816,0.7207,4,0
week,2015-W05,alpha101/alpha_044,0.13064,0.6656,5,0
week,2015-W05,alpha101/alpha_015,0.10969,0.6384,6,0
week,2015-W05,qlib158/ma10,0.119,0.6373,7,0
week,2015-W05,gtja191/alpha_090,0.11787,0.637,8,0
week,2015-W05,alpha101/alpha_016,0.10252,0.627,9,0
week,2015-W05,alpha101/alpha_024,0.15091,0.6248,10,0
week,2015-W05,qlib158/min10,0.11277,0.6172,11,0
week,2015-W05,qlib158/vsumn5,0.09778,0.5983,12,0
week,2015-W05,alpha101/alpha_002,0.11288,0.5832,13,0
week,2015-W05,gtja191/alpha_016,0.09429,0.539,14,0
week,2015-W05,qlib158/cntn5,0.07104,0.4828,15,0
week,2015-W05,alpha101/alpha_088,0.05141,0.3571,16,0
week,2015-W05,gtja191/alpha_006,-0.00685,0.1902,17,0
week,2015-W05,alpha101/alpha_004,0.00741,0.1703,18,0
week,2015-W05,alpha101/alpha_023,-0.00874,0.1518,19,0
week,2015-W05,alpha101/alpha_027,-0.01015,0.1495,20,0
week,2015-W06,qlib158/vma10,0.20359,0.7132,1,1
week,2015-W06,alpha101/alpha_044,0.16739,0.6996,2,0
week,2015-W06,alpha101/alpha_016,0.17045,0.6836,3,0
week,2015-W06,gtja191/alpha_016,0.18721,0.6836,4,0
week,2015-W06,alpha101/alpha_026,0.14795,0.6159,5,0
week,2015-W06,gtja191/alpha_001,0.14268,0.6146,6,0
week,2015-W06,alpha101/alpha_002,0.1424,0.6126,7,0
week,2015-W06,alpha101/alpha_015,0.14078,0.6069,8,0
week,2015-W06,gtja191/alpha_041,0.13806,0.5944,9,0
week,2015-W06,qlib158/ma10,0.13364,0.5488,10,0
week,2015-W06,alpha101/alpha_024,0.14562,0.5476,11,0
week,2015-W06,gtja191/alpha_090,0.12312,0.5421,12,0
week,2015-W06,qlib158/vsumn5,0.12271,0.5343,13,0
week,2015-W06,qlib158/min10,0.11855,0.4992,14,0
week,2015-W06,qlib158/cntn5,0.10976,0.4848,15,0
week,2015-W06,gtja191/alpha_008,0.09129,0.3915,16,0
week,2015-W06,gtja191/alpha_157,0.08996,0.3898,17,0
week,2015-W06,alpha101/alpha_088,0.0927,0.3842,18,0
week,2015-W06,alpha101/alpha_004,0.07207,0.3152,19,0
week,2015-W06,alpha101/alpha_023,0.04595,0.1984,20,0
week,2015-W06,gtja191/alpha_006,0.0462,0.1964,21,0
week,2015-W06,alpha101/alpha_027,0.04365,0.1896,22,0
week,2015-W07,alpha101/alpha_016,0.29512,0.7609,1,1
week,2015-W07,qlib158/vma10,0.27625,0.7227,2,0
week,2015-W07,alpha101/alpha_002,0.26428,0.6944,3,0
week,2015-W07,alpha101/alpha_015,0.23256,0.6138,4,0
week,2015-W07,alpha101/alpha_055,0.22979,0.6107,5,0
week,2015-W07,alpha101/alpha_026,0.22097,0.5941,6,0
week,2015-W07,alpha101/alpha_088,0.21963,0.5843,7,0
week,2015-W07,gtja191/alpha_016,0.21482,0.5756,8,0
week,2015-W07,gtja191/alpha_090,0.21726,0.5755,9,0
week,2015-W07,alpha101/alpha_024,0.21714,0.5737,10,0
